Year,state,incidentType,totalObligated
2019,Louisiana,Severe Storm(s),4039780.21
2019,Minnesota,Flood,12087621.669999998
2019,Mississippi,Severe Storm(s),27806375.01
2019,Missouri,Flood,13135520.989999998
2019,Missouri,Severe Storm(s),13622092.99
2019,Montana,Flood,1098540.7
2019,Nebraska,Flood,43791327.69
2019,New Hampshire,Severe Storm(s),241023.7
2019,North Carolina,Hurricane,21813837.980000004
2019,North Dakota,Flood,5906809.199999999
2019,Ohio,Flood,9977230.390000002
2019,Ohio,Tornado,3214010.35
2019,Oklahoma,Severe Storm(s),14800575.569999998
2019,Oregon,Flood,614555.0700000001
2019,Oregon,Severe Storm(s),16051485.5
2019,South Carolina,Hurricane,6446792.909999999
2019,South Dakota,Flood,8186068.5600000005
2019,South Dakota,Severe Storm(s),863664.19
2019,Tennessee,Flood,8699755.62
2019,Tennessee,Severe Storm(s),795476.61
2019,Texas,Flood,46155531.220000006
2019,Vermont,Flood,941649.9800000001
2019,Washington,Severe Storm(s),8234994.05
2019,West Virginia,Flood,2699880.27
2019,Wisconsin,Flood,4568654.97
