Year,State,Incident Type,Month,Count of Incidents,Total Obligated
2018,Guam,Typhoon,Oct,1,$8469232.24
2018,Hawaii,Flood,May,1,$10085191.54
2018,Hawaii,Hurricane,Sep,1,$7530883.32
2018,Hawaii,Volcano,May,1,$14596390.69
2018,Indiana,Flood,May,1,$14753557.37
2018,Iowa,Severe Storm(s),Aug,1,$14982127.75
2018,Iowa,Severe Storm(s),Sep,1,$4023371.73
2018,Kansas,Severe Storm(s),Oct,1,$2596776.44
2018,Kentucky,Flood,Apr,2,$57162811.02
2018,Maine,Coastal Storm,May,1,$4076792.82
2018,Maine,Severe Storm(s),Jan,1,$7971674.48
2018,Maryland,Flood,Jul,1,$13437805.02
2018,Maryland,Severe Storm(s),Jun,1,$5556545.03
2018,Massachusetts,Severe Storm(s),Jun,1,$23672590.83
2018,Massachusetts,Snow,Jul,1,$34678098.94
2018,Michigan,Flood,Aug,1,$21768182.24
2018,Minnesota,Flood,Sep,1,$21622657.68
2018,Montana,Flood,Aug,1,$1918336.39
2018,Montana,Flood,Oct,1,$1828970.38
2018,Nebraska,Severe Storm(s),Aug,1,$2738955.31
2018,Nebraska,Snow,Jun,1,$7487077.22
2018,New Hampshire,Coastal Storm,Jun,1,$622436.09
2018,New Hampshire,Severe Storm(s),Jan,1,$9504433.82
2018,New Hampshire,Snow,Jun,1,$2722902.39
2018,New Jersey,Severe Storm(s),Jun,1,$30875793.94
2018,New York,Flood,Oct,1,$5856719.79
2018,North Carolina,Hurricane,Sep,1,$522633453.95
2018,Northern Mariana Islands,Typhoon,Oct,1,$172906704.66
2018,Northern Mariana Islands,Typhoon,Sep,1,$3833508.47
2018,Ohio,Flood,Apr,1,$53593901.91
2018,Oklahoma,Fire,Jun,1,$5461446.17
2018,Pennsylvania,Severe Storm(s),Nov,1,$55094471.38
2018,South Carolina,Hurricane,Sep,1,$89678412.44
2018,Vermont,Severe Storm(s),Jan,1,$5306300.19
2018,Vermont,Severe Storm(s),Jul,1,$3321515.85
2018,Virginia,Hurricane,Dec,1,$26061111.59
2018,Virginia,Hurricane,Oct,1,$23241356.24
2018,Washington,Flood,Aug,1,$327171.11
2018,West Virginia,Mud/Landslide,Apr,1,$42504583.15
2018,West Virginia,Severe Storm(s),Jul,1,$2761381.93
2018,Wisconsin,Flood,Aug,1,$6383293.36
2018,Wisconsin,Flood,Oct,1,$19335792.87
2019,Alabama,Severe Storm(s),Apr,1,$4698837.03
2019,Alabama,Tornado,Mar,1,$3689283.38
2019,Alaska,Earthquake,Jan,1,$23600561.99
2019,Arkansas,Flood,Jun,1,$23275130.87
2019,Arkansas,Flood,Sep,1,$2167170.93
2019,California,Severe Storm(s),Mar,1,$36172.50
2019,California,Severe Storm(s),May,2,$25374194.39
2019,Florida,Hurricane,Oct,1,$1390503.17
2019,Guam,Typhoon,May,1,$555333.06
2019,Idaho,Flood,Jun,1,$977001.20
2019,Illinois,Flood,Sep,1,$8828759.36
2019,Iowa,Flood,Apr,1,$609262.95
2019,Iowa,Flood,Mar,1,$33865755.98
